evidence_source_id,pmid,doi,title,pubYear,journalTitle,query_ids,screen_decision,screen_reason,screener,screen_date,notes
EPMC-0035,33829127,10.1186/s42522-020-0010-1,Typing methods based on whole genome sequencing data.,2020,,Q3_amr_core,pending,,,,
EPMC-0036,32929164,10.1038/s41598-020-71693-5,Understanding and predicting ciprofloxacin minimum inhibitory concentration in Escherichia coli with machine learning.,2020,,Q3_amr_core,pending,,,,
EPMC-0037,31913111,10.1099/mgen.0.000324,Using genomics to understand meticillin- and vancomycin-resistant <i>Staphylococcus aureus</i> infections.,2020,,Q3_amr_core,pending,,,,
EPMC-0038,31929521,10.1371/journal.pcbi.1007511,VAMPr: VAriant Mapping and Prediction of antibiotic resistance via explainable features and machine learning.,2020,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0039,33671611,10.3390/microorganisms9020449,"A Narrative Review of the Molecular Epidemiology and Laboratory Surveillance of Vaccine Preventable Bacterial Meningitis Agents: <i>Streptococcus pneumoniae</i>, <i>Neisseria meningitidis</i>, <i>Haemophilus influenzae</i> and <i>Streptococcus agalactiae</i>.",2021,,Q3_amr_core,pending,,,,
EPMC-0040,33875000,10.1186/s13073-021-00858-2,A community-driven resource for genomic epidemiology and antimicrobial resistance prediction of Neisseria gonorrhoeae at Pathogenwatch.,2021,,Q3_amr_core,pending,,,,
EPMC-0041,34379107,10.1093/bib/bbab313,A genomic data resource for predicting antimicrobial resistance from laboratory-derived antimicrobial susceptibility phenotypes.,2021,,Q3_amr_core,pending,,,,
EPMC-0042,34043940,10.1016/j.cell.2021.05.002,A global metagenomic map of urban microbiomes and antimicrobial resistance.,2021,,Q3_amr_core,pending,,,,
EPMC-0043,34554083,10.1099/mgen.0.000610,A random forest model based on core genome allelic profiles of MRSA for penicillin plus potassium clavulanate susceptibility prediction.,2021,,Q3_amr_core,pending,,,,
EPMC-0044,33897984,10.1016/j.csbj.2021.03.027,AMR-Diag: Neural network based genotype-to-phenotype prediction of resistance towards β-lactams in &lt;i&gt;Escherichia coli&lt;/i&gt; and &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt;.,2021,,Q3_amr_core,pending,,,,
EPMC-0045,34504303,10.1038/s42003-021-02586-0,Accelerating antibiotic discovery through artificial intelligence.,2021,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0046,34414415,10.1093/bib/bbab299,An end-to-end heterogeneous graph attention network for Mycobacterium tuberculosis drug-resistance prediction.,2021,,Q3_amr_core,pending,,,,
EPMC-0047,33215194,10.1093/jamia/ocaa233,An explainable machine learning platform for pyrazinamide resistance prediction and genetic feature identification of Mycobacterium tuberculosis.,2021,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0048,34141134,10.1016/j.csbj.2021.05.034,Antibiotic resistance: Time of synthesis in a post-genomic age.,2021,,Q3_amr_core,pending,,,,
EPMC-0049,33750782,10.1038/s41467-021-21749-5,Apparent nosocomial adaptation of Enterococcus faecalis predates the modern hospital era.,2021,,Q3_amr_core,pending,,,,
EPMC-0050,33737920,10.3389/fmicb.2021.634511,"Applications of Machine Learning in Human Microbiome Studies: A Review on Feature Selection, Biomarker Identification, Disease Prediction and Treatment.",2021,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0051,33536291,10.1128/jcm.01260-20,Applications of Machine Learning to the Problem of Antimicrobial Resistance: an Emerging Model for Translational Research.,2021,,Q3_amr_core,pending,,,,
EPMC-0052,34349740,10.3389/fmicb.2021.683580,"Applications of Raman Spectroscopy in Bacterial Infections: Principles, Advantages, and Shortcomings.",2021,,Q3_amr_core,pending,,,,
EPMC-0053,34201152,10.3390/ijms22126184,Bioinformatics Accelerates the Major Tetrad: A Real Boost for the Pharmaceutical Industry.,2021,,Q3_amr_core,pending,,,,
EPMC-0054,34598416,10.37201/req/s01.04.2021,Bioinformatics approaches to the study of antimicrobial resistance.,2021,,Q3_amr_core,pending,,,,
EPMC-0055,34676470,10.1186/s13244-021-01102-6,Clinical applications of artificial intelligence and radiomics in neuro-oncology imaging.,2021,,Q3_amr_core,pending,,,,
EPMC-0056,35250909,10.3389/fmicb.2021.804484,Combination of MALDI-TOF Mass Spectrometry and Machine Learning for Rapid Antimicrobial Resistance Screening: The Case of <i>Campylobacter</i> spp.,2021,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0057,33920372,10.3390/antibiotics10040419,Combining Functional Genomics and Whole-Genome Sequencing to Detect Antibiotic Resistance Genes in Bacterial Strains Co-Occurring Simultaneously in a Brazilian Hospital.,2021,,Q3_amr_core,pending,,,,
EPMC-0058,34316397,10.7717/peerj.11732,Dairy management practices associated with multi-drug resistant fecal commensals and <i>Salmonella</i> in cull cows: a machine learning approach.,2021,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0059,33682875,10.1093/bioinformatics/btab147,DeepViral: prediction of novel virus-host interactions from protein sequences and infectious disease phenotypes.,2021,,Q2_block_holdout_focus,pending,,,,
EPMC-0060,34355212,10.3389/fdgth.2021.583468,Digital Insights Into Nucleotide Metabolism and Antibiotic Treatment Failure.,2021,,Q3_amr_core,pending,,,,
EPMC-0061,34292145,10.1099/mgen.0.000605,Elucidation of global and national genomic epidemiology of <i>Salmonella enterica</i> serovar Enteritidis through multilevel genome typing.,2021,,Q3_amr_core,pending,,,,
EPMC-0062,33455849,10.1016/j.tim.2020.12.002,Forest and Trees: Exploring Bacterial Virulence with Genome-wide Association Studies and Machine Learning.,2021,,Q3_amr_core,pending,,,,
EPMC-0063,34678056,10.1126/sciadv.abj5056,Functions predict horizontal gene transfer and the emergence of antibiotic resistance.,2021,,Q3_amr_core,pending,,,,
EPMC-0064,34461978,10.1186/s13073-021-00953-4,GenTB: A user-friendly genome-based predictor for tuberculosis resistance powered by machine learning.,2021,,Q3_amr_core,pending,,,,
EPMC-0065,34550361,10.1093/infdis/jiab456,Genome Dynamics and Evolution of Multiple-Drug-Resistant Bacteria: Implications for Global Infection Control Priorities.,2021,,Q3_amr_core,pending,,,,
EPMC-0066,35164570,10.1128/mbio.03796-21,"Genome Informatics and Machine Learning-Based Identification of Antimicrobial Resistance-Encoding Features and Virulence Attributes in Escherichia coli Genomes Representing Globally Prevalent Lineages, Including High-Risk Clonal Complexes.",2021,,Q3_amr_core,pending,,,,
EPMC-0067,33536414,10.1038/s41467-021-20988-w,Genome evolution and the emergence of pathogenicity in avian Escherichia coli.,2021,,Q3_amr_core,pending,,,,
EPMC-0068,34876224,10.1186/s13099-021-00468-8,"Genome insights of Enterococcus raffinosus CX012922, isolated from the feces of a Crohn's disease patient.",2021,,Q3_amr_core,pending,,,,
EPMC-0069,33993166,10.1097/olq.0000000000001471,Genomic Analysis of the Predominant Strains and Antimicrobial Resistance Determinants Within 1479 Neisseria gonorrhoeae Isolates From the US Gonococcal Isolate Surveillance Project in 2018.,2021,,Q3_amr_core,pending,,,,
EPMC-0070,34519526,10.1128/msystems.00194-21,Genomic Features Associated with the Degree of Phenotypic Resistance to Carbapenems in Carbapenem-Resistant Klebsiella pneumoniae.,2021,,Q3_amr_core,pending,,,,
EPMC-0071,,10.1101/2021.05.25.445601,Genomic Surveillance of COVID-19 Variants with Language Models and Machine Learning,2021,,Q3_amr_core,pending,,,,
EPMC-0072,33581494,10.1016/j.vetmic.2021.109006,Genomics accurately predicts antimicrobial resistance in Staphylococcus pseudintermedius collected as part of Vet-LIRN resistance monitoring.,2021,,Q3_amr_core,pending,,,,
EPMC-0073,33863705,10.1128/aem.00485-21,"High-Resolution Genomic Comparisons within <i>Salmonella enterica</i> Serotypes Derived from Beef Feedlot Cattle: Parsing the Roles of Cattle Source, Pen, Animal, Sample Type, and Production Period.",2021,,Q3_amr_core,pending,,,,
EPMC-0074,33416461,10.1099/mgen.0.000500,Identifying novel β-lactamase substrate activity through <i>in silico</i> prediction of antimicrobial resistance.,2021,,Q3_amr_core,pending,,,,
EPMC-0075,33857456,10.1053/j.gastro.2021.04.013,Impact of Antibiotic Resistance Genes in Gut Microbiome of Patients With Cirrhosis.,2021,,Q3_amr_core,pending,,,,
EPMC-0076,33522489,10.7554/elife.61805,In-host population dynamics of <i>Mycobacterium tuberculosis</i> complex during active disease.,2021,,Q3_amr_core,pending,,,,
EPMC-0077,34829296,10.3390/diagnostics11111949,Investigation of MALDI-TOF Mass Spectrometry for Assessing the Molecular Diversity of <i>Campylobacter jejuni</i> and Comparison with MLST and cgMLST: A Luxembourg One-Health Study.,2021,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0078,35004362,10.3389/fcimb.2021.809560,Lessons Learnt From Using the Machine Learning Random Forest Algorithm to Predict Virulence in <i>Streptococcus pyogenes</i>.,2021,,Q3_amr_core,pending,,,,
EPMC-0079,34439032,10.3390/antibiotics10080982,MALDI-TOF Mass Spectrometry Technology as a Tool for the Rapid Diagnosis of Antimicrobial Resistance in Bacteria.,2021,,Q3_amr_core,pending,,,,
EPMC-0080,34427505,10.1128/msystems.00346-21,Machine Learning Prediction of Resistance to Subinhibitory Antimicrobial Concentrations from Escherichia coli Genomes.,2021,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0081,,10.1101/2021.03.26.437296,Machine learning prediction of resistance to sub-inhibitory antimicrobial concentrations from  <i>Escherichia coli</i>  genomes,2021,,Q3_amr_core,pending,,,,
EPMC-0082,33720959,10.1371/journal.pone.0246287,Machine learning predicts and provides insights into milk acidification rates of Lactococcus lactis.,2021,,Q3_amr_core,pending,,,,
EPMC-0083,34662334,10.1371/journal.pgen.1009436,Machine learning to predict the source of campylobacteriosis using whole genome data.,2021,,Q2_block_holdout_focus,pending,,,,
EPMC-0084,34039877,10.1097/qco.0000000000000742,Modeling transmission of pathogens in healthcare settings.,2021,,Q3_amr_core,pending,,,,
EPMC-0085,35233560,10.1007/s43657-021-00016-z,Molecular Determinants of Antibiotic Resistance in the Costa Rican <i>Pseudomonas aeruginosa </i>AG1 by a Multi-omics Approach: A Review of 10 Years of Study.,2021,,Q3_amr_core,pending,,,,
EPMC-0086,36303799,10.3389/fbinf.2021.805338,MycoVarP: Mycobacterium Variant and Drug Resistance Prediction Pipeline for Whole-Genome Sequence Data Analysis.,2021,,Q3_amr_core,pending,,,,
EPMC-0087,33815688,10.1016/j.csbj.2021.02.020,Nanopore sequencing and its application to the study of microbial communities.,2021,,Q3_amr_core,pending,,,,
EPMC-0088,34758735,10.1186/s12859-021-04459-z,PangenomeNet: a pan-genome-based network reveals functional modules on antimicrobial resistome for Escherichia coli strains.,2021,,Q3_amr_core,pending,,,,
EPMC-0089,33727393,10.1128/msystems.00177-21,Patient and Microbial Genomic Factors Associated with Carbapenem-Resistant Klebsiella pneumoniae Extraintestinal Colonization and Infection.,2021,,Q3_amr_core,pending,,,,
EPMC-0090,34328412,10.1099/mgen.0.000506,Phylogeography and resistome of pneumococcal meningitis in West Africa before and after vaccine introduction.,2021,,Q3_amr_core,pending,,,,
EPMC-0091,34128695,10.1128/msystems.00185-21,Predicting Antimicrobial Resistance Using Partial Genome Alignments.,2021,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0092,33446856,10.1038/s41598-021-81063-4,Predicting bacteriophage hosts based on sequences of annotated receptor-binding proteins.,2021,,Q3_amr_core,pending,,,,
EPMC-0093,34055238,10.1016/j.csbj.2021.05.037,Prediction of repurposed drugs for Coronaviruses using artificial intelligence and machine learning.,2021,,Q3_amr_core,pending,,,,
EPMC-0094,34055480,10.7717/peerj.11376,"ProkEvo: an automated, reproducible, and scalable framework for high-throughput bacterial population genomics analyses.",2021,,Q3_amr_core,pending,,,,
EPMC-0095,34846288,10.1099/mgen.0.000683,RFPlasmid: predicting plasmid sequences from short-read assembly data using machine learning.,2021,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0096,33925758,10.3390/microorganisms9050947,Re-Emergence of Salmonellosis in Hog Farms: Outbreak and Bacteriological Characterization.,2021,,Q3_amr_core,pending,,,,
EPMC-0097,34940513,10.3390/jox11040013,Review on Multiple Facets of Drug Resistance: A Rising Challenge in the 21st Century.,2021,,Q3_amr_core,pending,,,,
EPMC-0098,34125583,10.1128/ecosalplus.esp-0008-2020,Salmonella Genomics in Public Health and Food Safety.,2021,,Q3_amr_core,pending,,,,
EPMC-0099,33349664,10.1038/s41564-020-00836-1,Stepwise evolution of Salmonella Typhimurium ST313 causing bloodstream infection in Africa.,2021,,Q3_amr_core,pending,,,,
EPMC-0100,33789754,10.1186/s13756-021-00931-w,Surveillance of antimicrobial resistance in low- and middle-income countries: a scattered picture.,2021,,Q3_amr_core,pending,,,,
EPMC-0101,34402777,10.1099/mgen.0.000616,"The roles of antimicrobial resistance, phage diversity, isolation source and selection in shaping the genomic architecture of <i>Bacillus anthracis</i>.",2021,,Q3_amr_core,pending,,,,
EPMC-0102,33903652,10.1038/s41598-021-88318-0,Whole genome-based characterisation of antimicrobial resistance and genetic diversity in Campylobacter jejuni and Campylobacter coli from ruminants.,2021,,Q3_amr_core,pending,,,,
EPMC-0103,34100643,10.1128/msystems.01185-20,Whole-Genome Sequencing and Machine Learning Analysis of Staphylococcus aureus from Multiple Heterogeneous Sources in China Reveals Common Genetic Traits of Antimicrobial Resistance.,2021,,Q3_amr_core,pending,,,,
EPMC-0104,36077000,10.3390/ijms23179601,"""Omic"" Approaches to Bacteria and Antibiotic Resistance Identification.",2022,,Q3_amr_core,pending,,,,
EPMC-0105,35780211,10.1038/s41467-022-31236-0,A convolutional neural network highlights mutations relevant to antimicrobial resistance in Mycobacterium tuberculosis.,2022,,Q3_amr_core,pending,,,,
EPMC-0106,35944069,10.1371/journal.pbio.3001721,"A data compendium associating the genomes of 12,289 Mycobacterium tuberculosis isolates with quantitative resistance phenotypes to 13 antibiotics.",2022,,Q3_amr_core,pending,,,,
EPMC-0107,35016609,10.1186/s12864-022-08291-4,A modified decision tree approach to improve the prediction and mutation discovery for drug resistance in Mycobacterium tuberculosis.,2022,,Q3_amr_core,pending,,,,
EPMC-0108,35583675,10.1093/gigascience/giac029,AMR-meta: a k-mer and metafeature approach to classify antimicrobial resistance from high-throughput short-read metagenomics data.,2022,,Q3_amr_core,pending,,,,
EPMC-0109,36576129,10.1093/gigascience/giac119,Accurate and fast clade assignment via deep learning and frequency chaos game representation.,2022,,Q3_amr_core,pending,,,,
EPMC-0110,35165358,10.1038/s41598-022-06449-4,Accurate and rapid prediction of tuberculosis drug resistance from genome sequence data using traditional machine learning algorithms and CNN.,2022,,Q3_amr_core,pending,,,,
EPMC-0111,35203785,10.3390/antibiotics11020182,Antibiotic Discovery and Resistance: The Chase and the Race.,2022,,Q3_amr_core,pending,,,,
EPMC-0112,36367012,10.2807/1560-7917.es.2022.27.45.2200104,"Antibiotic resistance surveillance of <i>Klebsiella pneumoniae</i> complex is affected by refined MALDI-TOF identification, Swiss data, 2017 to 2022.",2022,,Q3_amr_core,pending,,,,
EPMC-0113,36009948,10.3390/antibiotics11081082,Antimicrobial Resistance and Its Spread Is a Global Threat.,2022,,Q3_amr_core,pending,,,,
EPMC-0114,35163319,10.3390/ijms23031395,Application and Challenge of 3rd Generation Sequencing for Clinical Bacterial Studies.,2022,,Q3_amr_core,pending,,,,
EPMC-0115,35564242,10.3390/nano12091534,Application of Nanopore Sequencing in the Detection of Foodborne Microorganisms.,2022,,Q3_amr_core,pending,,,,
EPMC-0116,35098917,10.1099/mgen.0.000757,"Applied Bioinformatics and Public Health Microbiology: challenges, discoveries and innovations during a pandemic.",2022,,Q3_amr_core,pending,,,,
EPMC-0117,36296187,10.3390/microorganisms10101911,Artificial Intelligence Models for Zoonotic Pathogens: A Survey.,2022,,Q1_protocol_broad|Q3_amr_core,pending,,,,
EPMC-0118,35849321,10.1007/s40744-022-00475-4,Artificial Intelligence in Rheumatoid Arthritis: Current Status and Future Perspectives: A State-of-the-Art Review.,2022,,Q2_block_holdout_focus,pending,,,,
EPMC-0119,35595537,10.1093/bib/bbac191,Artificial intelligence and machine learning approaches using gene expression and variant data for personalized medicine.,2022,,Q2_block_holdout_focus,pending,,,,
EPMC-0120,36551368,10.3390/antibiotics11121710,Associating Biological Activity and Predicted Structure of Antimicrobial Peptides from Amphibians and Insects.,2022,,Q3_amr_core,pending,,,,
EPMC-0121,35536006,10.1128/mbio.00101-22,Association of Diet and Antimicrobial Resistance in Healthy U.S. Adults.,2022,,Q3_amr_core,pending,,,,
EPMC-0122,35126341,10.3389/fmicb.2022.806576,Beyond to the Stable: Role of the Insertion Sequences as Epidemiological Descriptors in <i>Corynebacterium striatum</i>.,2022,,Q3_amr_core,pending,,,,
EPMC-0123,34170311,10.1093/bfgp/elab028,Bioinformatics tools used for whole-genome sequencing analysis of Neisseria gonorrhoeae: a literature review.,2022,,Q3_amr_core,pending,,,,
EPMC-0124,35565065,10.3390/ijerph19095671,Characterisation of <i>Salmonella</i> Enteritidis ST11 and ST1925 Associated with Human Intestinal and Extra-Intestinal Infections in Singapore.,2022,,Q3_amr_core,pending,,,,
EPMC-0125,36179278,10.1093/jac/dkac239,Characteristics of community-acquired carbapenem-resistant Enterobacterales.,2022,,Q3_amr_core,pending,,,,
EPMC-0126,35909954,10.3389/fcimb.2022.933006,"Characterization and Comparative Genomic Analysis of a Highly Colistin-Resistant &lt;i&gt;Chryseobacterium gallinarum&lt;/i&gt;: a Rare, Uncommon Pathogen.",2022,,Q3_amr_core,pending,,,,
EPMC-0127,36748517,10.1099/mgen.0.000913,Characterization of a P1-bacteriophage-like plasmid (phage-plasmid) harbouring <i>bla</i> <sub>CTX-M-15</sub> in <i>Salmonella enterica</i> serovar Typhi.,2022,,Q3_amr_core,pending,,,,
EPMC-0128,36153474,10.1186/s12859-022-04926-1,Clinlabomics: leveraging clinical laboratory data by data mining strategies.,2022,,Q2_block_holdout_focus,pending,,,,
EPMC-0129,36108023,10.1126/science.abm7759,Codiversification of gut microbiota with humans.,2022,,Q3_amr_core,pending,,,,
EPMC-0130,35889069,10.3390/microorganisms10071350,Comparative Genomics and Pan-Genome Driven Prediction of a Reduced Genome of <i>Akkermansia muciniphila</i>.,2022,,Q3_amr_core,pending,,,,
EPMC-0131,35038924,10.1128/mbio.03196-21,Comparative Genomics of Borderline Oxacillin-Resistant Staphylococcus aureus Detected during a Pseudo-outbreak of Methicillin-Resistant S. aureus in a Neonatal Intensive Care Unit.,2022,,Q3_amr_core,pending,,,,
EPMC-0132,35724561,10.1093/bib/bbac233,Comparative analysis of machine learning algorithms on the microbial strain-specific AMP prediction.,2022,,Q3_amr_core,pending,,,,
EPMC-0133,36446041,10.1200/po.22.00341,Comparison of <i>PIK3CA</i> Mutation Prevalence in Breast Cancer Across Predicted Ancestry Populations.,2022,,Q3_amr_core,pending,,,,
EPMC-0134,35353009,10.1128/msystems.01456-21,Computational Network Inference for Bacterial Interactomics.,2022,,Q3_amr_core,pending,,,,
EPMC-0135,35311574,10.1128/mmbr.00004-21,Computational Tools for the Analysis of Uncultivated Phage Genomes.,2022,,Q3_amr_core,pending,,,,
EPMC-0136,,10.1101/2022.11.24.517860,Copiotrophs dominate rhizosphere microbiomes and growth rate potential is a major factor explaining the rhizosphere effect,2022,,Q2_block_holdout_focus,pending,,,,
EPMC-0137,36136696,10.3390/vetsci9090480,Current Insights Regarding the Role of Farm Animals in the Spread of Antimicrobial Resistance from a One Health Perspective.,2022,,Q3_amr_core,pending,,,,
EPMC-0138,35061715,10.1371/journal.pone.0261531,DeLUCS: Deep learning for unsupervised clustering of DNA sequences.,2022,,Q2_block_holdout_focus,pending,,,,
EPMC-0139,36421255,10.3390/antibiotics11111611,Deep Transfer Learning Enables Robust Prediction of Antimicrobial Resistance for Novel Antibiotics.,2022,,Q2_block_holdout_focus|Q3_amr_core,pending,,,,
EPMC-0140,35989604,10.1098/rstb.2021.0231,Deep clustering of bacterial tree images.,2022,,Q3_amr_core,pending,,,,
EPMC-0141,36704568,10.3389/fmicb.2022.1104405,Determination of the ability of matrix-assisted laser desorption ionization time-of-flight mass spectrometry to identify high-biofilm-producing strains.,2022,,Q3_amr_core,pending,,,,
EPMC-0142,35624131,10.1038/s41598-022-12772-7,Differences in composition of interdigital skin microbiota predict sheep and feet that develop footrot.,2022,,Q2_block_holdout_focus,pending,,,,
EPMC-0143,35663900,10.3389/fmicb.2022.914978,Editorial: New Insights Into the Transmission Dynamics and Control of Antimicrobial Resistance to Last-Resort Antibiotics.,2022,,Q3_amr_core,pending,,,,
EPMC-0144,36000891,10.1128/spectrum.01296-22,Estimated Roles of the Carrier and the Bacterial Strain When Methicillin-Resistant Staphylococcus aureus Decolonization Fails: a Case-Control Study.,2022,,Q3_amr_core,pending,,,,
EPMC-0145,35862809,10.1128/msystems.00378-22,"Forecasting Staphylococcus aureus Infections Using Genome-Wide Association Studies, Machine Learning, and Transcriptomic Approaches.",2022,,Q3_amr_core,pending,,,,
EPMC-0146,35890020,10.3390/pathogens11070776,Genome Analysis of ESBL-Producing <i>Escherichia coli</i> Isolated from Pigs.,2022,,Q3_amr_core,pending,,,,
EPMC-0147,36473884,10.1038/s41598-022-25026-3,Genome-resolved insight into the reservoir of antibiotic resistance genes in aquatic microbial community.,2022,,Q3_amr_core,pending,,,,
EPMC-0148,39628842,10.1016/j.engmic.2022.100021,Genome-scale metabolic modeling in antimicrobial pharmacology.,2022,,Q3_amr_core,pending,,,,
