pmid,doi,title,pubYear,match,excerpt,disposition
41473737,10.1155/bmri/1235637,Functional and Structure Prediction of Hypothetical Proteins From &lt;i&gt;Listeria aquatica&lt;/i&gt; FSL S10-1188: Bioinformatics Approaches.,2025,logo,"xification protein. Both showed alpha-helix-rich secondary structures, with high-confidence AlphaFold3 models (pTM scores: 0.87 and 0.94). Structural validation confirmed the model quality. Virulence pred",exclude
41959952,10.7759/cureus.104870,Machine Learning Analysis of Type VII Secretion System Expression and Its Relationships With Virulence Traits and Antibiotic Resistance in Staphylococcus aureus.,2026,loco,"ity pathogen due to its extensive virulence arsenal, immune evasion strategies, and rising multidrug resistance, particularly in methicillin-resistant strains (MRSA). The type VII secretion system (T7SS),",exclude
38694798,10.3389/fmicb.2024.1361795,MSDeepAMR: antimicrobial resistance prediction based on deep neural networks and transfer learning.,2024,loco,"r different antibiotic resistance profiles. Additionally, a transfer learning test was performed to study the benefits of adapting the previously trained models to external data. Results MSDeepAMR models ",exclude_weak
41257887,10.1038/s41598-025-24298-9,Coevolutionary signals in multiple sequence alignments improve virulence factor prediction with an MSA Transformer.,2025,logo,"ese coevolutionary features along with the residue level information, we propose MSA-composition, which consists of latent vectors for amino acids in matrix form. Our approach achieved a prediction accura",exclude_weak
40581074,10.1093/bioinformatics/btaf206,Whole-genome phenotype prediction with machine learning: open problems in bacterial genomics.,2025,loco,"s isolates, we illustrate challenges surrounding the defined open problems. Availability and implementation Raw sequencing data are available from the European Nucleotide Archive (ENA) under project acces",exclude_weak
40658463,10.1093/bioinformatics/btaf397,Identifying DNA methylation types and methylated base positions from bacteria using nanopore sequencing with multi-scale neural network.,2025,Leave-One,"taining 7 bacteria samples with 46 methylation motifs shows that Nanoident achieves ∼10% improvement in accuracy than the previous method. Furthermore, Nanoident achieves ∼13% improvement in accuracy in an ind",exclude_weak
40640467,10.1038/s43856-025-00999-0,Machine learning-assisted assessment of extracellular vesicles can monitor cellular rejection after heart transplant.,2025,leave-one," 78.9% at validation in an independent cohort (AUC 0.832), with high specificity and negative predictive value. EV profiling outperforms conventional biochemical markers and provides anticipatory insight into ",exclude
42177353,10.1038/s41598-026-54844-y,Semantic embedding of variant effect annotations enables rapid and accurate pathogenicity prediction with VUS.Life.,2026,Leave-One,"CV) MCC of 0.895-0.989 and F1 ≥ 0.94 across all genes evaluated. Additionally, our unsupervised FBN1 structural analysis using ESMC-600M revealed that delta embeddings disentangled distinct pathogenic mechanis",exclude_weak
40064867,10.1038/s41467-025-57216-8,Equitable machine learning counteracts ancestral bias in precision medicine.,2025,phylogenetic distance,"ow phylogenetic distance from training data negatively impacts model performance, as well as PhyloFrame's capacity to mitigate these effects. These results demonstrate how equitable artificial intelligence (AI) approaches",exclude
39820436,10.1093/bib/bbaf015,Techniques for learning and transferring knowledge for microbiome-based classification and prediction: review and assessment.,2024,loso,ving the way for advancements in personalized medicine and accurate diagnosis. Empirical research suggests that the integration of foundation models with transfer learning methodologies substantially boos,exclude
40796684,10.1038/s41564-025-02061-0,Deep learning reveals antibiotics in the archaeal proteome.,2025,loco,"s aeruginosa, Staphylococcus aureus and Enterococcus spp. Notably, in vivo validation identified archaeasin-73 as a lead candidate, significantly reducing A. baumannii loads in mouse infection models, wit",exclude
41286599,10.1186/s12859-025-06324-9,OMetaNet: an efficient hybrid deep learning model based on multimodal data fusion and contrastive learning for predicting 2'-O-methylation sites in human RNA.,2025,cross-species generaliz,,exclude_weak
38298179,10.1016/j.csbj.2023.12.046,NeuralBeds: Neural embeddings for efficient DNA data compression and optimized similarity search.,2024,logo,"n organisms, phylogenetic studies of evolutionary relationships among several biological entities, or detection of pathogens. Improving DNA similarity search is of outmost importance because of the increa",exclude
38193658,10.1128/spectrum.03065-23,Rapid nanopore sequencing and predictive susceptibility testing of positive blood cultures from intensive care patients with sepsis.,2024,loco,"uginosa . In 470 AST predictions across 42 samples, with both high quality and exploratory-only predictions, overall CA, ME, and VME rates were 87.7%, 8.3%, and 28.4%. VME rates were inflated by false sus",exclude
36713195,10.3389/fmicb.2022.1039687,"β-LacFamPred: An online tool for prediction and classification of β-lactamase class, subclass, and family.",2022,leave-one,"n, except one all β-LacFamPred model HMMs showed 100% accuracy. Benchmarking with other BL family prediction methods showed β-LacFamPred to be the most accurate. Out of 60 penicillin-binding proteins (PBPs) an",exclude_weak
40261713,10.1172/jci185430,Antimicrobial peptide developed with machine learning sequence optimization targets drug resistant Staphylococcus aureus in mice.,2025,loco,"ce rises, new antibacterial candidates are urgently needed. Using sequence space information from over 14,743 functional antimicrobial peptides (AMPs), we improved the antimicrobial properties of citropin",exclude
38123686,10.1038/s41586-023-06887-8,Discovery of a structural class of antibiotics with explainable deep learning.,2024,loco,"ylococcus aureus were enriched in putative structural classes arising from rationales. Of these structural classes of compounds, one is selective against methicillin-resistant S. aureus (MRSA) and vancomy",exclude
39007592,10.1093/bib/bbae319,Highly accurate classification and discovery of microbial protein-coding gene functions using FunGeneTyper: an extensible deep learning framework.,2024,logo,"-best performance in the discovery of new ARGs from human gut (F1-score: 0.6948), wastewater (0.6072), and soil (0.5445) microbiomes, beating the state-of-the-art bioinformatics tools and sequence alignme",exclude
37184409,10.1128/msystems.00734-22,Identification of a Specific Biomarker of Acinetobacter baumannii Global Clone 1 by Machine Learning and PCR Related to Metabolic Fitness of ESKAPE Pathogens.,2023,loco,"ginosa, and Enterobacter species) pathogens, our findings highlight that machine learning can also be useful in knowledge gaps of high-risk clones and provides noteworthy support to the literature to iden",exclude
39756573,10.1016/j.jare.2025.01.005,Unveiling novel antimicrobial peptides from the ruminant gastrointestinal microbiomes: A deep learning-driven approach yields an anti-MRSA candidate.,2025,loco,"hogens. Notably, Peptide 4, which exhibited the highest antimicrobial activity against methicillin-resistant Staphylococcus aureus (MRSA), confirmed this effect in a mouse model with wound infection, exhi",exclude
32518231,10.1038/s41598-020-65981-3,BacEffluxPred: A two-tier system to predict and categorize bacterial efflux mediated antibiotic resistance proteins.,2020,leave-one,alled jackknife procedure was used for performance evaluation. The accuracy to discriminate bacterial AR efflux from non-AR efflux was obtained as 85.81% (at tier-I) while accuracies for prediction of efflux p,exclude_weak
32119670,10.1371/journal.pcbi.1007608,Machine learning with random subspace ensembles identifies antimicrobial resistance determinants from pan-genomes of three pathogens.,2020,loco,"Escherichia coli genomes. We find that feature selection by RSE detects known AMR associations more reliably than common statistical tests and previous ensemble approaches, identifying a total of 45 known",exclude_weak
34554083,10.1099/mgen.0.000610,A random forest model based on core genome allelic profiles of MRSA for penicillin plus potassium clavulanate susceptibility prediction.,2021,loco,linical practice because therapeutic options are limited. Penicillin plus potassium clavulanate combination (PENC) was shown to have potential for treating some MRSA infections. We investigated the suscep,exclude_weak
34678056,10.1126/sciadv.abj5056,Functions predict horizontal gene transfer and the emergence of antibiotic resistance.,2021,Phylogenetic distance,"netic distance, shared ecology, and genomic constraints are often cited as key drivers governing horizontal gene transfer (HGT), although their relative contributions are unclear. Here, we apply machine learning algorithm",exclude_weak
