pmid,doi,title,pubYear,match,excerpt
40064867,10.1038/s41467-025-57216-8,Equitable machine learning counteracts ancestral bias in precision medicine.,2025,phylogenetic distance,"ow phylogenetic distance from training data negatively impacts model performance, as well as PhyloFrame's capacity to mitigate these effects. These results demonstrate how equitable artificial intelligence (AI) approaches"
39820436,10.1093/bib/bbaf015,Techniques for learning and transferring knowledge for microbiome-based classification and prediction: review and assessment.,2024,loso,ving the way for advancements in personalized medicine and accurate diagnosis. Empirical research suggests that the integration of foundation models with transfer learning methodologies substantially boos
40796684,10.1038/s41564-025-02061-0,Deep learning reveals antibiotics in the archaeal proteome.,2025,loco,"s aeruginosa, Staphylococcus aureus and Enterococcus spp. Notably, in vivo validation identified archaeasin-73 as a lead candidate, significantly reducing A. baumannii loads in mouse infection models, wit"
41286599,10.1186/s12859-025-06324-9,OMetaNet: an efficient hybrid deep learning model based on multimodal data fusion and contrastive learning for predicting 2'-O-methylation sites in human RNA.,2025,cross-species generaliz,
38298179,10.1016/j.csbj.2023.12.046,NeuralBeds: Neural embeddings for efficient DNA data compression and optimized similarity search.,2024,logo,"n organisms, phylogenetic studies of evolutionary relationships among several biological entities, or detection of pathogens. Improving DNA similarity search is of outmost importance because of the increa"
34128695,10.1128/msystems.00185-21,Predicting Antimicrobial Resistance Using Partial Genome Alignments.,2021,phylogenetic distance,"oss larger phylogenetic distances were examined in greater detail, revealing genes and intergenic regions with potential links to AMR, virulence, transport, and survival under stress conditions. IMPORTANCE Antimicrobial r"
34100643,10.1128/msystems.01185-20,Whole-Genome Sequencing and Machine Learning Analysis of Staphylococcus aureus from Multiple Heterogeneous Sources in China Reveals Common Genetic Traits of Antimicrobial Resistance.,2021,loco,Staphylococcus aureus is a worldwide leading cause of numerous diseases ranging from food-poisoning to lethal infections. Methicillin-resistant S. aureus (MRSA) has been found capable of 
38193658,10.1128/spectrum.03065-23,Rapid nanopore sequencing and predictive susceptibility testing of positive blood cultures from intensive care patients with sepsis.,2024,loco,"uginosa . In 470 AST predictions across 42 samples, with both high quality and exploratory-only predictions, overall CA, ME, and VME rates were 87.7%, 8.3%, and 28.4%. VME rates were inflated by false sus"
36713195,10.3389/fmicb.2022.1039687,"β-LacFamPred: An online tool for prediction and classification of β-lactamase class, subclass, and family.",2022,leave-one,"n, except one all β-LacFamPred model HMMs showed 100% accuracy. Benchmarking with other BL family prediction methods showed β-LacFamPred to be the most accurate. Out of 60 penicillin-binding proteins (PBPs) an"
40261713,10.1172/jci185430,Antimicrobial peptide developed with machine learning sequence optimization targets drug resistant Staphylococcus aureus in mice.,2025,loco,"ce rises, new antibacterial candidates are urgently needed. Using sequence space information from over 14,743 functional antimicrobial peptides (AMPs), we improved the antimicrobial properties of citropin"
33519755,10.3389/fmicb.2020.607842,Integrative Analysis of Whole Genome Sequencing and Phenotypic Resistance Toward Prediction of Trimethoprim-Sulfamethoxazole Resistance in <i>Staphylococcus aureus</i>.,2020,loco,"e for clinical microbiological diagnostics, the reliability of genotypic antimicrobial resistance (AMR) prediction from sequencing data is an important issue to address. Computational AMR prediction can b"
38123686,10.1038/s41586-023-06887-8,Discovery of a structural class of antibiotics with explainable deep learning.,2024,loco,"ylococcus aureus were enriched in putative structural classes arising from rationales. Of these structural classes of compounds, one is selective against methicillin-resistant S. aureus (MRSA) and vancomy"
39007592,10.1093/bib/bbae319,Highly accurate classification and discovery of microbial protein-coding gene functions using FunGeneTyper: an extensible deep learning framework.,2024,logo,"-best performance in the discovery of new ARGs from human gut (F1-score: 0.6948), wastewater (0.6072), and soil (0.5445) microbiomes, beating the state-of-the-art bioinformatics tools and sequence alignme"
33075053,10.1371/journal.pcbi.1008319,Predicting antimicrobial resistance using conserved genes.,2020,loco," enterica, and Staphylococcus aureus, we report that it is possible to classify susceptible and resistant phenotypes with average F1 scores ranging from 0.80-0.89 with as few as 100 conserved non-AMR gene"
35862809,10.1128/msystems.00378-22,"Forecasting Staphylococcus aureus Infections Using Genome-Wide Association Studies, Machine Learning, and Transcriptomic Approaches.",2022,loco,"Staphylococcus aureus is a major human and animal pathogen, colonizing diverse ecological niches within its hosts. Predicting whether an isola"
37184409,10.1128/msystems.00734-22,Identification of a Specific Biomarker of Acinetobacter baumannii Global Clone 1 by Machine Learning and PCR Related to Metabolic Fitness of ESKAPE Pathogens.,2023,loco,"ginosa, and Enterobacter species) pathogens, our findings highlight that machine learning can also be useful in knowledge gaps of high-risk clones and provides noteworthy support to the literature to iden"
39858869,10.3390/microorganisms13010101,Data Mining Models in Prediction of Vancomycin-Intermediate <i>Staphylococcus aureus</i> in Methicillin-Resistant <i>S. aureus</i> (MRSA) Bacteremia Patients in a Clinical Care Setting.,2025,loco,"Vancomycin-intermediate Staphylococcus aureus (VISA) is a multi-drug-resistant pathogen of significant clinical concern. Various S. aureus strains can cause infections, from skin and soft tissu"
39756573,10.1016/j.jare.2025.01.005,Unveiling novel antimicrobial peptides from the ruminant gastrointestinal microbiomes: A deep learning-driven approach yields an anti-MRSA candidate.,2025,loco,"hogens. Notably, Peptide 4, which exhibited the highest antimicrobial activity against methicillin-resistant Staphylococcus aureus (MRSA), confirmed this effect in a mouse model with wound infection, exhi"
32518231,10.1038/s41598-020-65981-3,BacEffluxPred: A two-tier system to predict and categorize bacterial efflux mediated antibiotic resistance proteins.,2020,leave-one,alled jackknife procedure was used for performance evaluation. The accuracy to discriminate bacterial AR efflux from non-AR efflux was obtained as 85.81% (at tier-I) while accuracies for prediction of efflux p
32119670,10.1371/journal.pcbi.1007608,Machine learning with random subspace ensembles identifies antimicrobial resistance determinants from pan-genomes of three pathogens.,2020,loco,"Escherichia coli genomes. We find that feature selection by RSE detects known AMR associations more reliably than common statistical tests and previous ensemble approaches, identifying a total of 45 known"
34554083,10.1099/mgen.0.000610,A random forest model based on core genome allelic profiles of MRSA for penicillin plus potassium clavulanate susceptibility prediction.,2021,loco,linical practice because therapeutic options are limited. Penicillin plus potassium clavulanate combination (PENC) was shown to have potential for treating some MRSA infections. We investigated the suscep
,10.1101/2020.04.29.068254,Predicting Antimicrobial Resistance Using Conserved Genes,2020,loco,"erica , and Staphylococcus aureus , we report that it is possible to classify susceptible and resistant phenotypes with average F1 scores ranging from 0.80-0.89 with as few as 100 conserved non-AMR genes,"
33581494,10.1016/j.vetmic.2021.109006,Genomics accurately predicts antimicrobial resistance in Staphylococcus pseudintermedius collected as part of Vet-LIRN resistance monitoring.,2021,loco,"Whole-genome sequencing (WGS) has changed our understanding of bacterial pathogens, aiding outbreak investigations and advancing our knowledge of their genetic features. However, there ha"
34678056,10.1126/sciadv.abj5056,Functions predict horizontal gene transfer and the emergence of antibiotic resistance.,2021,Phylogenetic distance,"netic distance, shared ecology, and genomic constraints are often cited as key drivers governing horizontal gene transfer (HGT), although their relative contributions are unclear. Here, we apply machine learning algorithm"
