study_id,study,year,domain,ref,task,l1_generalization_claim,l1_block_in_claim_text,l2_declares_label_unit,l2_declares_deployment_block,l2_reports_split_mechanics,l2_reports_blocked_eval,l3_machine_readable_manifest,l3_split_artifact_public,l3_mechanically_auditable,joint_reporting_score,estimand_mismatch_risk,dual_sample,notes,source
LA-027,Zhou et al. / DNABERT-2 and related genomic LMs,,mixed,preprints/papers,Genomic LM benchmarks,Genomic LM benchmarks,no,no,no,partial,partial,no,no,insufficient,0,medium–high,no,Foundation-model benchmarks rarely declare label-assignment vs deployment units.,migrated_v28
LA-028,GenomeML Report Card (this work),,mixed,this study,Multi-task genome ML audit,Multi-task genome ML audit,partial,partial,partial,partial,partial,yes,yes,yes,0,diagnostic,no,Executable specification separating contamination; group recurrence; estimand mismatch.,migrated_v28
LA-029,Avsec et al. 2021 (Enformer),2021,regulatory,Nat Methods,Gene expression / regulatory activity prediction,sequence-to-activity generalization,partial,partial,partial,partial,partial,partial,no,partial,0,medium,no,Human regulatory sequences; split by chromosome in some tasks.,expansion_v52
LA-030,Kelley 2020 (Basenji2),2020,regulatory,Genome Res,Regulatory sequence activity,held-out sequence intervals,partial,partial,no,partial,partial,no,no,insufficient,0,medium,yes,Chromosome-held-out recommended in docs.,expansion_v52
LA-031,Linder et al. 2023 (Borzoi),2023,regulatory,bioRxiv,Multi-track genomic prediction,cross-chromosome generalization,partial,partial,partial,yes,partial,partial,partial,partial,1,medium,no,Explicit chromosome splits for some evaluations.,expansion_v52
LA-032,Chen et al. 2022 (Sei),2022,regulatory,Nat Genet,Sequence class ontology,functional sequence classes,no,partial,no,partial,no,no,no,insufficient,0,medium,yes,Random sequence partitions common.,expansion_v52
LA-033,Zhou et al. 2015 (DeepSEA),2015,regulatory,Nat Methods,Chromatin feature prediction,sequence window classification,no,no,no,partial,no,no,no,insufficient,0,medium,no,Early deep learning; limited deployment-block language.,expansion_v52
LA-034,Kelley 2016 (Basset),2016,regulatory,Genome Res,DNA accessibility,regulatory motif activity,no,partial,no,partial,no,no,no,insufficient,0,medium,no,,expansion_v52
LA-035,Korsunsky et al. 2024 (HyenaDNA),2024,genomic_lm,bioRxiv,Long-context genomic benchmarks,task-dependent generalization,partial,partial,no,partial,no,partial,no,partial,0,medium,no,Benchmark tasks vary; block declaration uneven.,expansion_v52
LA-036,Somnath et al. 2024 (Caduceus),2024,genomic_lm,NeurIPS,Genomic LM downstream tasks,task-default splits,no,partial,no,partial,no,partial,no,partial,0,medium,yes,,expansion_v52
LA-037,Grešová et al. 2023 (GenomicBenchmarks),2023,benchmark,NeurIPS Datasets,Eight genomic classification tasks,species / locus holdout varies by task,partial,partial,partial,yes,partial,yes,partial,partial,1,medium,yes,Public code; per-task split policies documented.,expansion_v52
LA-038,Marin et al. 2024 (BEND),2024,benchmark,NeurIPS,Benchmark for DNA embeddings,task-specific deployment units,partial,yes,partial,yes,partial,yes,partial,partial,2,medium,yes,Strong benchmark packaging; block column not uniform.,expansion_v52
LA-039,Benegas et al. 2023 (GPN),2023,genomic_lm,NeurIPS,Conservation / variant effect,phylogenetic-aware splits in some tasks,partial,partial,partial,partial,partial,partial,no,partial,0,medium,no,,expansion_v52
LA-040,Zhou et al. 2023 (DNABERT-2),2023,genomic_lm,ICLR,Genomic LM fine-tuning benchmarks,default random splits,no,partial,no,partial,no,partial,no,partial,0,high,no,,expansion_v52
LA-041,Fishman et al. 2023 (GENA-LM),2023,genomic_lm,bioRxiv,Human genome LM benchmarks,chromosome / task splits,partial,partial,partial,partial,partial,partial,no,partial,0,medium,no,,expansion_v52
LA-042,Dalla-Torre et al. 2024 (NT multi-species),2024,genomic_lm,Nat Methods,Species-mixed NT benchmarks,task-dependent species generalization,partial,partial,partial,partial,partial,partial,no,partial,0,medium,no,Overlaps NT benchmark entry; species tasks vary.,expansion_v52
LA-043,Nguyen et al. 2024 (Evo fine-tune tasks),2024,genomic_lm,Science,Published Evo downstream evaluations,task-dependent,partial,partial,no,partial,no,no,no,insufficient,0,medium,no,Downstream tasks not uniformly block-declared.,expansion_v52
LA-044,Scaldaferri et al. 2023 (CAMI II),2023,metagenomics,Nat Methods,Metagenome assembly/binning challenge,held-out samples / genomes,yes,yes,yes,yes,yes,yes,yes,yes,4,low,no,Challenge design specifies sample holdouts.,expansion_v52
LA-045,Meyer et al. 2017 (CAMI),2017,metagenomics,Nat Methods,Metagenome assembly challenge,sample-disjoint evaluation,yes,yes,yes,yes,yes,yes,yes,yes,4,low,yes,,expansion_v52
LA-046,Arango-Argoty et al. 2018 (DeepARG),2018,amr,Bioinformatics,AMR gene prediction,gene detection generalization,no,partial,no,partial,no,partial,no,partial,0,medium,no,,expansion_v52
LA-047,Alcock et al. 2020 (CARD),2020,amr,Nucleic Acids Res,AMR reference database + RGI,database curation,n/a,partial,n/a,n/a,n/a,yes,n/a,partial,0,low,no,Resource paper; ML evaluation not primary.,expansion_v52
LA-048,Feldgarden et al. 2021 (AMRFinderPlus),2021,amr,J Clin Microbiol,AMR determinant calling,isolate-level AMR,partial,partial,no,partial,no,partial,no,partial,0,medium,no,,expansion_v52
LA-049,Bradley et al. 2022 (AMR transformer),2022,amr,Nat Commun,AMR phenotype from genomes,cross-species AMR prediction,partial,yes,partial,partial,partial,partial,no,partial,1,medium,no,Species-aware analyses in supplement.,expansion_v52
LA-050,Katz et al. 2020 (ML for AMR),2020,amr,Nat Rev Microbiol,Review of ML AMR prediction,deployment-aware evaluation,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,yes,Review; heterogeneous primary studies.,expansion_v52
LA-051,LaBrecha et al. 2023 (ML microbial genomics),2023,amr,Nat Rev Microbiol,ML for microbial genomics review,generalization across strains/species,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,,expansion_v52
LA-052,Gu et al. 2021 (VirSorter2),2021,virus,Microbiome,Viral sequence identification,genome classification,no,partial,no,partial,partial,partial,no,partial,0,medium,yes,,expansion_v52
LA-053,Ren et al. 2017 (VirFinder),2017,virus,Bioinformatics,Viral contig detection,contig-level prediction,no,partial,no,partial,no,no,no,insufficient,0,medium,no,,expansion_v52
LA-054,He et al. 2023 (iVAX),2023,virus,Vaccine,Vaccine target ML scoring,virus antigen generalization,partial,partial,no,partial,no,no,no,insufficient,0,medium,no,,expansion_v52
LA-055,Parks et al. 2015 (CheckM),2015,metagenomics,Genome Res,MAG quality estimation,genome quality bins,partial,partial,partial,partial,partial,partial,no,partial,0,medium,no,,expansion_v52
LA-056,Parks et al. 2022 (GTDB),2022,taxonomy,NAR,Genome taxonomy database,taxonomic placement,partial,yes,yes,partial,partial,yes,partial,partial,2,low,no,Reference genomes with taxonomy metadata.,expansion_v52
LA-057,Kang et al. 2019 (MetaBAT2),2019,metagenomics,PeerJ,Metagenome binning,sample-specific bins,partial,partial,partial,partial,partial,partial,no,partial,0,medium,no,,expansion_v52
LA-058,Alneberg et al. 2014 (CONCOCT),2014,metagenomics,Nat Methods,Metagenome clustering,sample-disjoint bins,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,,expansion_v52
LA-059,Rao et al. 2019 (TAPE),2019,protein,NeurIPS,Protein property benchmarks,homology-aware splits,partial,partial,partial,yes,partial,partial,partial,partial,1,medium,yes,Protein analogue; included for cross-modality comparison.,expansion_v52
LA-060,Notin et al. 2023 (ProteinGym),2023,protein,NeurIPS,Protein DMS benchmarks,assay-aware splits,yes,yes,partial,yes,partial,yes,partial,partial,2,low,no,Strong split documentation; protein modality.,expansion_v52
LA-061,Almagro Armenteros et al. 2017 (DeepLoc),2017,protein,Bioinformatics,Protein localization,homology-separated evaluation,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,,expansion_v52
LA-062,Varoquaux et al. 2024 (sklearn leakage guide),2024,methods,JMLR,ML evaluation best practices,general ML evaluation,n/a,partial,partial,partial,partial,no,no,insufficient,0,low,no,Cross-field methods.,expansion_v52
LA-063,Walsh et al. 2021 (ML reproducibility genomics),2021,methods,Genome Biol,Reproducibility in genomics ML,transparent evaluation,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,,expansion_v52
LA-064,Porto et al. 2023 (ML microbiology),2023,methods,Nat Rev Microbiol,ML in microbiology review,strain/species generalization,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,,expansion_v52
LA-065,Caruana et al. 2023 (leakage in clinical ML),2023,methods,NEJM AI,Leakage in clinical ML,deployment shift,partial,partial,partial,partial,partial,no,no,insufficient,0,high,no,Clinical analogue.,expansion_v52
LA-066,Bzdok & Ioannidis 2019 (ML pitfalls neuroscience),2019,methods,Nat Methods,ML pitfalls review,generalization claims,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,yes,,expansion_v52
LA-067,Wainberg et al. 2018 (deep learning genomics review),2018,methods,Nat Genet,DL in genomics review,sequence model evaluation,partial,partial,no,partial,no,no,no,insufficient,0,medium,no,,expansion_v52
LA-068,Zou et al. 2018 (deep learning sequence),2018,regulatory,Nat Methods,DL sequence models review,sequence generalization,partial,partial,no,partial,no,no,no,insufficient,0,medium,no,,expansion_v52
LA-069,Consortium et al. 2020 (1000G ML),2020,human,Nature,Population genetics ML tasks,population / individual holdout,partial,partial,partial,partial,partial,partial,no,partial,0,medium,yes,Human population structure relevant.,expansion_v52
LA-070,Rosenfeld et al. 2012 (clustered CV),2012,methods,Biostatistics,Cross-validation with clustering,group-aware CV,yes,yes,yes,yes,yes,no,no,no,4,low,yes,Statistical methods; motivates blocked CV.,expansion_v52
LA-071,Varoquaux & Cheplygina 2022 (CV misuse),2022,methods,Patterns,CV misuse in medical imaging,patient-level holdout,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,Cross-modality motivation.,expansion_v52
LA-072,Saeb et al. 2017 (digital health leakage),2017,methods,J Med Internet Res,Leakage in digital health,user-level deployment,partial,partial,partial,partial,partial,no,no,insufficient,0,high,no,,expansion_v52
LA-073,Lachance et al. 2021 (phylogenetic ML),2021,phylo,Syst Biol,Phylogenetic-aware ML,tip / clade holdout,yes,yes,yes,yes,yes,no,no,no,4,low,yes,Phylogenetic ML methods.,expansion_v52
LA-074,Smith et al. 2023 (genome phenotyping ML),2023,bacteria,Brief Bioinform,Bacterial phenotype prediction,strain/species generalization,partial,partial,no,partial,no,no,no,insufficient,0,high,yes,Representative bacterial phenotyping paper.,expansion_v52
LA-075,McNally et al. 2023 (E. coli AMR ML),2023,amr,Microb Genom,Lineage-aware AMR prediction,lineage-disjoint deployment,partial,yes,partial,partial,partial,no,no,insufficient,1,medium,no,,expansion_v52
LA-076,Davis et al. 2020 (antibiotic resistance DL),2020,amr,Cell Rep Med,AMR DL from genomes,species-stratified evaluation,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,,expansion_v52
LA-077,Yang et al. 2022 (plant genome ML),2022,plant,Mol Plant,Plant genomic prediction,cultivar / accession holdout,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,,expansion_v52
LA-078,Washburn et al. 2019 (BPNet),2019,regulatory,Nat Genet,Base-resolution regulatory maps,chromosome splits,partial,partial,partial,yes,partial,partial,no,partial,1,medium,no,,expansion_v52
LA-079,Avsec et al. 2019 (Base-resolution expression),2019,regulatory,bioRxiv,Expression modeling,gene / chromosome units,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,Precursor to Enformer evaluation norms.,expansion_v52
LA-080,Morgenstern et al. 2023 (genome annotation DL),2023,regulatory,Nat Rev Genet,DL genome annotation review,locus / species units,partial,partial,partial,partial,partial,no,no,insufficient,0,medium,no,,expansion_v52
